Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,293,1.8300000000000001,2340.0,751.0,1400.0,700.0,15.0,11-1-0,12
2,25,1.5800000000000001,2625.0,518.0,1280.0,1000.0,10.0,9-2-1,12
3,222,1.4099999999999999,2662.0,810.0,1500.0,850.0,7.0,8-3-1,12
4,555,1.3300000000000001,2364.0,517.0,1240.0,850.0,4.0,8-4-0,12
5,747,1.3300000000000001,2226.0,311.0,1020.0,1000.0,11.0,8-4-0,12
6,1279,1.3300000000000001,1611.0,296.0,940.0,500.0,6.0,8-2-0,12
7,11,1.25,2260.0,325.0,940.0,900.0,20.0,7-4-1,12
8,219,1.25,2238.0,515.0,1280.0,650.0,3.0,7-4-1,12
9,75,1.1599999999999999,2195.0,395.0,1200.0,750.0,5.0,7-5-0,12
10,5624,1.1599999999999999,1788.0,334.0,1100.0,350.0,18.0,7-5-0,12
11,5992,1.1599999999999999,1684.0,153.0,840.0,600.0,19.0,7-5-0,12
12,2600,1.1599999999999999,1421.0,345.0,860.0,350.0,21.0,7-5-0,12
13,193,1.0800000000000001,1933.0,308.0,1140.0,550.0,8.0,6-5-1,12
14,3142,1.0800000000000001,1932.0,212.0,1100.0,650.0,2.0,6-5-1,12
15,1089,1.0800000000000001,1886.0,519.0,1120.0,600.0,6.0,6-5-1,12
16,3340,1.0800000000000001,1866.0,336.0,1100.0,500.0,21.0,6-5-1,12
17,2070,1.0,1857.0,383.0,1140.0,400.0,12.0,6-6-0,12
18,4281,1.0,1717.0,204.0,880.0,500.0,102.0,6-6-0,12
19,41,1.0,1673.0,299.0,1060.0,400.0,8.0,6-6-0,12
20,3314,0.91000000000000003,2131.0,483.0,1180.0,700.0,31.0,5-6-1,12
21,4361,0.91000000000000003,2124.0,330.0,1100.0,700.0,4.0,5-6-1,12
22,303,0.82999999999999996,2098.0,453.0,1260.0,650.0,13.0,5-7-0,12
23,1923,0.82999999999999996,1953.0,258.0,960.0,700.0,8.0,5-7-0,12
24,2554,0.82999999999999996,1936.0,339.0,900.0,800.0,6.0,5-7-0,12
25,2577,0.82999999999999996,1902.0,396.0,1040.0,650.0,12.0,5-7-0,12
26,2016,0.82999999999999996,1811.0,219.0,1000.0,600.0,6.0,5-7-0,12
27,1228,0.82999999999999996,1551.0,279.0,960.0,400.0,6.0,5-7-0,12
28,1672,0.82999999999999996,1510.0,269.0,1080.0,250.0,5.0,4-5-2,12
29,1403,0.66000000000000003,1898.0,162.0,1040.0,550.0,18.0,4-8-0,12
30,1811,0.66000000000000003,1755.0,205.0,1140.0,400.0,5.0,4-8-0,12
31,6016,0.66000000000000003,1634.0,195.0,940.0,450.0,14.0,4-8-0,12
32,5310,0.66000000000000003,1592.0,283.0,900.0,500.0,7.0,4-8-0,12
33,5438,0.66000000000000003,1580.0,210.0,980.0,350.0,0.0,4-8-0,12
34,3515,0.66000000000000003,1554.0,367.0,1120.0,200.0,9.0,4-8-0,12
35,752,0.66000000000000003,1145.0,130.0,740.0,300.0,0.0,4-4-0,12
36,4035,0.33000000000000002,1549.0,234.0,1080.0,300.0,4.0,2-10-0,12
37,5732,0.0,627.0,56.0,440.0,100.0,17.0,0-5-0,12
