Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,3991,1.5800000000000001,3326,545,1600,1500,11,9-3-0,0,12
2,456,1.5,3208,548,1440,1550,13,9-3-0,0,12
3,4087,1.3300000000000001,3082,604,1540,1350,12,8-4-0,0,12
4,364,1.1599999999999999,3021,582,1420,1400,11,7-5-0,0,12
5,4336,1.1599999999999999,2869,632,1360,1350,4,7-5-0,0,12
6,5953,1.0800000000000001,2941,571,1380,1400,6,6-6-0,0,12
7,3039,0.91000000000000003,3116,632,1580,1300,56,5-7-0,0,12
8,2992,0.82999999999999996,3142,726,1500,1450,27,5-7-0,0,12
9,2080,0.82999999999999996,2834,534,1440,1200,4,5-7-0,0,12
10,1912,0.66000000000000003,3100,425,1320,1550,15,4-8-0,0,12
11,1421,0.66000000000000003,3061,671,1400,1450,11,4-8-0,0,12
12,3337,0.5,2681,526,1360,1150,1,3-9-0,0,12
