2019onbar_f1m1,frc4476,frc1305,frc781,frc4903,frc1325,frc7664,62,70
2019onbar_f1m2,frc4476,frc1305,frc781,frc4903,frc1325,frc7664,68,67
2019onbar_f1m3,frc4476,frc1305,frc781,frc4903,frc1325,frc7664,77,67
2019onbar_qf1m1,frc4476,frc1305,frc781,frc2013,frc6331,frc6461,80,32
2019onbar_qf1m2,frc4476,frc1305,frc781,frc2013,frc6331,frc6461,89,55
2019onbar_qf2m1,frc6336,frc3655,frc4938,frc4688,frc216,frc3571,55,56
2019onbar_qf2m2,frc6336,frc3655,frc4938,frc4688,frc216,frc3571,54,45
2019onbar_qf2m3,frc6336,frc3655,frc4938,frc4688,frc216,frc3571,63,48
2019onbar_qf3m1,frc4903,frc1325,frc7664,frc4015,frc288,frc7757,71,54
2019onbar_qf3m2,frc4903,frc1325,frc7664,frc4015,frc288,frc7757,69,45
2019onbar_qf4m1,frc2634,frc4932,frc7200,frc2771,frc244,frc6481,65,33
2019onbar_qf4m2,frc2634,frc4932,frc7200,frc2771,frc244,frc6481,70,36
2019onbar_qm1,frc7200,frc7902,frc4903,frc3655,frc3571,frc4015,48,38
2019onbar_qm10,frc2771,frc3655,frc244,frc6461,frc3571,frc6544,53,42
2019onbar_qm11,frc1305,frc4932,frc2013,frc7757,frc7902,frc216,56,24
2019onbar_qm12,frc7664,frc4688,frc781,frc1325,frc288,frc4015,23,49
2019onbar_qm13,frc2634,frc4476,frc4903,frc6331,frc7200,frc4938,67,26
2019onbar_qm14,frc7757,frc244,frc3571,frc6336,frc2771,frc4932,24,46
2019onbar_qm15,frc2013,frc7200,frc1325,frc288,frc7902,frc3655,49,40
2019onbar_qm16,frc2634,frc6331,frc216,frc1305,frc6461,frc4015,48,58
2019onbar_qm17,frc4688,frc4476,frc6481,frc7664,frc6544,frc4903,66,40
2019onbar_qm18,frc4938,frc2634,frc1305,frc781,frc4015,frc6336,70,46
2019onbar_qm19,frc244,frc2013,frc6481,frc6544,frc216,frc1325,12,63
2019onbar_qm2,frc6331,frc6461,frc288,frc2771,frc6544,frc2013,37,26
2019onbar_qm20,frc7902,frc6461,frc7664,frc4938,frc2771,frc4476,56,65
2019onbar_qm21,frc4688,frc4903,frc288,frc3655,frc6331,frc3571,60,53
2019onbar_qm22,frc7757,frc4932,frc4015,frc781,frc6461,frc7200,41,45
2019onbar_qm23,frc6336,frc4938,frc2013,frc3571,frc4903,frc1305,30,77
2019onbar_qm24,frc4688,frc6331,frc781,frc4932,frc244,frc4476,25,51
2019onbar_qm25,frc1325,frc7664,frc7757,frc6544,frc7200,frc3655,77,47
2019onbar_qm26,frc288,frc216,frc2771,frc6481,frc7902,frc2634,51,41
2019onbar_qm27,frc781,frc2013,frc3655,frc4476,frc7664,frc7200,44,54
2019onbar_qm28,frc4015,frc6481,frc4903,frc244,frc1305,frc7757,44,69
2019onbar_qm29,frc1325,frc4938,frc6461,frc4932,frc3571,frc288,62,50
2019onbar_qm3,frc4688,frc1305,frc216,frc6481,frc244,frc7664,63,29
2019onbar_qm30,frc2771,frc6544,frc6331,frc7902,frc6336,frc4688,39,51
2019onbar_qm31,frc6461,frc2634,frc781,frc216,frc7664,frc1325,36,47
2019onbar_qm32,frc4015,frc3655,frc7757,frc288,frc1305,frc4476,60,83
2019onbar_qm33,frc4938,frc216,frc6481,frc7902,frc6331,frc6544,27,36
2019onbar_qm34,frc7200,frc4688,frc3571,frc244,frc6336,frc2634,39,40
2019onbar_qm35,frc6481,frc2771,frc4932,frc2013,frc4903,frc3655,47,52
2019onbar_qm36,frc3571,frc7664,frc4938,frc1325,frc244,frc781,38,54
2019onbar_qm37,frc7200,frc2771,frc1305,frc4476,frc4688,frc288,67,77
2019onbar_qm38,frc2634,frc7757,frc6544,frc2013,frc4015,frc7902,71,27
2019onbar_qm39,frc4932,frc216,frc6461,frc4903,frc6336,frc6331,44,55
2019onbar_qm4,frc7757,frc4476,frc6336,frc4938,frc4932,frc2634,50,51
2019onbar_qm40,frc1305,frc244,frc7200,frc6544,frc4938,frc4688,70,28
2019onbar_qm41,frc6336,frc2013,frc3571,frc781,frc6481,frc6461,49,42
2019onbar_qm42,frc6331,frc1325,frc7902,frc216,frc7757,frc4903,48,82
2019onbar_qm43,frc3655,frc4932,frc7664,frc2634,frc4015,frc2771,64,57
2019onbar_qm44,frc4476,frc3571,frc6544,frc288,frc7757,frc6331,28,45
2019onbar_qm45,frc1305,frc781,frc7902,frc3655,frc6481,frc4688,87,50
2019onbar_qm46,frc6461,frc4903,frc244,frc288,frc2634,frc4938,73,56
2019onbar_qm47,frc7200,frc4015,frc216,frc2771,frc6336,frc7664,47,43
2019onbar_qm48,frc4476,frc2013,frc6461,frc4932,frc1325,frc4688,61,76
2019onbar_qm49,frc216,frc3655,frc6336,frc244,frc4015,frc4938,62,52
2019onbar_qm5,frc4015,frc3655,frc1325,frc3571,frc781,frc2771,74,30
2019onbar_qm50,frc7902,frc4476,frc2771,frc3571,frc1325,frc2634,57,60
2019onbar_qm51,frc6544,frc288,frc6481,frc4903,frc781,frc4932,51,69
2019onbar_qm52,frc7664,frc1305,frc6331,frc2013,frc7200,frc7757,65,47
2019onbar_qm6,frc4932,frc6544,frc244,frc7664,frc2634,frc2013,43,47
2019onbar_qm7,frc6481,frc1325,frc6336,frc6461,frc4688,frc7757,59,51
2019onbar_qm8,frc4903,frc4938,frc7902,frc216,frc781,frc4476,36,49
2019onbar_qm9,frc6336,frc288,frc7200,frc6331,frc6481,frc1305,36,63
2019onbar_sf1m1,frc4476,frc1305,frc781,frc6336,frc3655,frc4938,77,52
2019onbar_sf1m2,frc4476,frc1305,frc781,frc6336,frc3655,frc4938,83,54
2019onbar_sf2m1,frc4903,frc1325,frc7664,frc2634,frc4932,frc7200,61,30
2019onbar_sf2m2,frc4903,frc1325,frc7664,frc2634,frc4932,frc7200,69,39
